comp_code,year,sales,asset,debt,ebitda,rd,ni,wc_sec1,wc_sec2,wc_total,active
1973,2000,220096,148964,97348,9747,52,3018,83,162,245,1
1973,2001,230064,136172,84432,5594,57,617,97,129,226,1
1973,2002,202419,116289,63923,7108,58,1512,98,140,238,1
1973,2003,194012,118416,66927,5879,290,500,151,179,330,1
1973,2004,198625,123935,71687,6518,428,1222,145,171,316,1
1973,2005,213672,134911,80285,8075,455,2609,117,196,313,1
1973,2006,254641,148797,86596,10119,595,3476,192,238,430,1
1973,2007,258212,154120,88039,12940,419,4360,347,232,579,1
1973,2008,249070,147251,78121,13304,290,4995,393,234,627,1
1973,2009,217727,146543,72693,12177,119,5644,272,198,470,1
1973,2010,217948,149464,72458,13060,52,4660,191,271,462,1
1973,2011,204658,149130,69055,11769,92,4474,232,265,497,1
1973,2012,235716,167472,81497,14728,98,7246,231,331,562,1
1973,2013,270326,189059,99893,17314,632,8257,264,432,696,1
1973,2014,292164,201964,107790,19736,428,7791,233,223,456,1
2145,2006,8215,2690,1279,469,0,241,208,0,208,1
2145,2007,8189,3108,1101,402,0,230,122,0,122,1
2145,2008,8902,3225,1075,393,0,227,79,0,79,1
2145,2009,8757,3311,1046,327,0,183,69,0,69,1
2145,2010,8149,3314,981,257,0,116,72,0,72,1
2145,2011,7971,3414,1003,237,0,111,95,0,95,1
2145,2012,7728,3463,956,250,0,135,98,0,98,1
2145,2013,7852,3500,877,293,0,157,86,0,86,1
2145,2014,7616,3776,1029,300,0,166,172,0,172,1
2186,2008,6829,2641,704,775,81,423,479,80,559,1
2186,2009,5766,2222,443,45,56,-19,485,131,616,1
2186,2010,5852,2472,584,252,9,125,499,36,535,1
2186,2011,6126,2625,598,375,1,182,541,23,564,1
2186,2012,6433,2909,704,481,0,247,210,0,210,1
2186,2013,6625,3168,734,547,0,302,205,0,205,1
2186,2014,6920,3558,1039,586,0,333,205,0,205,1
2303,2002,816,1568,297,355,26,153,213,140,353,1
2303,2003,734,1586,216,192,31,81,195,115,310,1
2303,2004,551,1559,170,70,13,18,112,21,133,1
2303,2005,624,1577,192,49,18,6,172,23,195,1
2303,2006,519,1446,136,-48,32,-69,202,19,221,1
2303,2007,542,1444,172,-10,34,-20,201,26,227,1
2303,2008,529,1397,149,-21,18,-20,172,23,195,1
2303,2009,530,1293,137,20,8,63,162,23,185,1
2303,2010,610,1264,105,32,5,13,184,25,209,1
2303,2011,460,1190,108,-60,18,-70,190,17,207,1
2303,2012,544,1148,103,-24,12,-34,172,23,195,1
2303,2013,627,1162,109,6,7,9,218,23,241,1
2303,2014,594,1195,132,15,18,15,237,25,262,1
2307,2002,5751,3949,2939,277,9,67,96,146,242,1
2307,2003,6112,4003,2828,414,6,153,172,89,261,1
2307,2004,6321,3859,2535,457,8,202,208,64,272,1
2307,2005,6930,3629,2112,433,6,211,208,54,262,1
2307,2006,7079,3790,2218,418,3,190,219,51,270,1
2307,2007,7679,3849,2292,301,0,99,192,32,224,1
2307,2008,7912,3858,2295,330,10,94,214,62,276,1
2307,2009,7549,3396,1809,252,0,81,183,0,183,1
2307,2010,6931,3114,1407,245,2,199,175,28,203,1
2307,2011,7544,3530,1792,313,31,120,184,56,240,1
2307,2012,7768,3754,1951,353,0,184,172,0,172,1
2307,2013,8626,3699,1732,442,11,237,172,22,194,1
2307,2014,8175,3917,1665,552,16,300,198,22,220,1
2315,2003,6291,4458,1147,914,20,481,91,104,195,1
2315,2004,10434,13162,5248,2539,7,-676,101,121,222,1
2315,2005,23616,24114,14610,2497,8,1016,102,138,240,1
2315,2006,35242,23174,11770,3164,21,1353,123,129,252,1
2315,2007,25864,22206,11875,2161,82,185,142,92,234,1
2315,2008,25795,20499,11296,2006,67,-249,99,76,175,1
2315,2009,22021,22521,9992,1879,44,80,93,76,169,1
2315,2010,17807,22608,11276,973,29,-951,81,76,157,1
2315,2011,20790,29436,12918,1485,46,-582,77,100,177,1
2315,2012,29306,45103,24684,2865,41,-960,83,67,150,1
2315,2013,26276,39361,25060,622,49,-6714,67,61,128,1
